"GTEX-UPK5-0426-SM-3GAEK" "GTEX-WFG7-2026-SM-3GIL7" "GTEX-UPJH-0226-SM-3GADV" "GTEX-WK11-2726-SM-3NMAQ" "GTEX-WY7C-2126-SM-3NB2R" "GTEX-WFON-1926-SM-3LK7L" "GTEX-X4EP-0626-SM-3P621" "GTEX-VJYA-1526-SM-3GIJV" "GTEX-WHSE-0126-SM-3NMBT" "GTEX-W5X1-2526-SM-3GILC" "GTEX-WHWD-1826-SM-3LK6I" "GTEX-V1D1-2026-SM-3GAF4" "GTEX-WH7G-2026-SM-3NMBL" "GTEX-WHSB-1326-SM-3LK6W" "GTEX-WHPG-2626-SM-3NMBR" "GTEX-WI4N-2726-SM-3LK7Y" "GTEX-WYJK-0526-SM-3NM8Z" "GTEX-WYBS-0626-SM-3NMAS" "GTEX-WEY5-2326-SM-3GIKK" "GTEX-X3Y1-2026-SM-3P5YM" "GTEX-WYVS-1626-SM-3NM9R" "GTEX-WRHU-2826-SM-3MJG8" "GTEX-WFG8-2126-SM-3GIKQ" "GTEX-XUJ4-1826-SM-4BOOU" "GTEX-1269C-0126-SM-5EQ5L" "GTEX-139T8-0626-SM-5KLZX" "GTEX-11ZUS-2626-SM-5FQUR" "GTEX-11DXZ-2026-SM-5987S" "GTEX-13FTW-0326-SM-5K7UW" "GTEX-VUSG-2326-SM-4KL1U" "GTEX-XV7Q-1826-SM-4BRUV" "GTEX-132AR-0326-SM-5KM2C" "GTEX-XBEC-0726-SM-4QARZ" "GTEX-11EQ8-0926-SM-5H12V" "GTEX-13OW8-1026-SM-5J1NQ" "GTEX-12BJ1-0926-SM-5EQ62" "GTEX-YEC3-1326-SM-4WWEL" "GTEX-Y8LW-1526-SM-5IFHL" "GTEX-13PDP-0726-SM-5L3HP" "GTEX-ZU9S-1826-SM-5NQ9E" "GTEX-ZAB5-2626-SM-5KM3Y" "GTEX-12ZZX-2426-SM-5GCOE" "GTEX-YF7O-1526-SM-5IFI6" "GTEX-Y8E4-2026-SM-5IFJB" "GTEX-ZPU1-1126-SM-4YCF3" "GTEX-ZYFD-0626-SM-5E44E" "GTEX-Y5V6-2326-SM-4VDSA" "GTEX-11EM3-1226-SM-5N9DD" "GTEX-11UD2-2526-SM-5CVNU" "GTEX-13O61-1426-SM-5KM3D"
"ENSG00000223972.4" 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"ENSG00000227232.4" 651 92 1114 1160 1602 1299 1152 1114 535 729 580 1302 901 939 1007 694 1368 883 445 1120 1170 1316 149 798 813 740 1179 835 1161 923 975 1036 1260 704 1157 662 581 1158 610 1531 635 599 635 709 1094 879 1068 1013 1038 954
"ENSG00000243485.2" 0 3 3 3 1 12 1 0 0 2 0 3 7 2 9 0 3 0 0 2 5 4 1 2 2 3 3 1 4 1 2 2 6 1 2 1 3 2 1 5 6 5 10 1 9 6 2 5 5 2
"ENSG00000237613.2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000268020.2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000240361.1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000186092.4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000238009.2" 11 0 12 12 12 8 5 15 11 13 7 55 2 2 7 3 7 15 1 5 24 4 2 4 8 6 13 8 10 8 8 19 5 9 13 5 7 8 7 7 10 4 9 2 14 4 12 8 5 1
"ENSG00000233750.3" 0 0 0 6 3 0 1 0 2 1 0 4 0 2 2 0 4 0 0 2 0 3 0 4 2 10 6 0 5 11 2 18 2 2 2 0 0 8 3 1 0 1 3 0 1 5 7 6 1 2
"ENSG00000237683.5" 184 196 516 889 569 458 608 538 1358 235 288 587 393 763 2059 662 1025 834 166 134 364 1580 204 1028 693 1528 1044 389 907 1675 565 1660 1274 238 2046 756 96 1446 1168 1688 264 412 550 533 1079 1491 1107 800 691 327
"ENSG00000268903.1" 31 36 63 156 80 46 68 89 222 38 34 82 66 121 320 86 136 118 31 22 54 141 31 154 107 268 163 75 163 345 66 304 259 59 351 136 15 212 202 282 41 58 82 58 189 225 296 92 134 58
"ENSG00000269981.1" 19 18 35 69 50 47 35 27 179 17 14 32 37 74 202 83 86 77 19 10 33 138 21 128 37 155 84 18 73 172 30 181 99 13 170 76 8 152 124 131 22 35 59 47 91 120 102 76 57 34
"ENSG00000239906.1" 0 2 12 6 22 7 14 29 17 0 2 26 6 11 32 12 15 11 3 3 2 35 1 6 17 15 21 0 12 13 3 27 27 5 14 15 5 19 12 34 5 6 6 4 22 50 0 29 12 6
"ENSG00000241860.2" 21 7 101 33 154 102 44 184 58 40 65 81 24 32 190 44 94 92 21 16 57 154 24 58 89 61 132 48 67 75 26 73 47 55 166 58 51 45 68 123 29 89 62 52 62 158 11 125 47 93
"ENSG00000222623.1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000241599.1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 2 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0
"ENSG00000228463.4" 100 2 153 105 78 230 110 241 147 51 107 236 64 86 39 37 74 109 10 79 209 84 15 61 104 99 116 125 77 151 97 86 34 57 210 70 117 99 135 79 353 68 116 105 128 81 169 77 123 55
"ENSG00000241670.2" 17 0 8 15 11 14 19 6 12 0 8 34 20 7 10 5 9 12 2 8 25 8 1 8 5 18 15 2 16 30 14 17 9 17 17 6 3 9 12 7 25 6 15 13 5 6 21 7 10 7
"ENSG00000237094.7" 29 14 275 262 425 357 235 311 164 124 172 461 121 225 264 237 403 292 108 95 395 518 40 184 176 206 256 200 242 174 199 208 265 94 310 190 135 462 113 443 112 116 148 223 180 363 40 335 200 277
"ENSG00000250575.1" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 2 0 0 0 0 0 1 0 0 0 0
"ENSG00000233653.3" 0 0 0 0 1 2 2 0 0 1 1 0 0 1 0 0 4 0 0 4 1 3 0 0 0 1 0 1 0 0 0 2 0 1 0 0 0 0 0 0 2 1 1 3 0 1 0 0 0 3
"ENSG00000224813.2" 0 0 0 1 0 1 0 18 0 0 0 0 0 0 0 0 1 0 0 5 0 1 0 0 0 2 1 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0
"ENSG00000235249.1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000269732.1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"ENSG00000256186.1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000236743.1" 0 0 0 0 0 0 2 0 0 4 2 0 0 0 0 0 0 1 7 0 5 2 0 1 0 0 0 0 2 0 1 0 0 0 2 0 0 0 0 0 0 0 4 1 1 0 0 0 1 0
"ENSG00000236601.1" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000236679.2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000231709.1" 0 0 4 13 2 8 5 0 1 0 8 0 11 6 1 0 4 8 0 9 6 5 0 1 4 2 6 0 4 3 11 3 7 0 0 3 1 4 2 4 5 3 7 2 1 5 3 3 4 0
"ENSG00000235146.2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"ENSG00000239664.2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
"ENSG00000230021.3" 5 1 6 17 2 5 3 25 0 3 2 17 6 1 2 1 9 1 0 19 25 8 0 11 13 1 2 11 3 10 14 5 5 7 7 2 3 4 3 7 11 2 1 9 1 10 4 3 4 11
"ENSG00000223659.1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000225972.1" 168 301 157 152 498 322 212 8082 169 17607 266 211 497 475 423 25612 270 93 231 615 128 137 126 245 170 161 420 35327 373 315 152 211 244 394 144 352 358 491 105 349 203 93 407 257 60490 208 720 413 167 263
"ENSG00000225630.1" 9071 5483 13010 11764 24451 13244 15904 24940 12476 18812 12292 24377 16199 578 22661 12079 19318 13699 13212 21646 12228 17024 204 73158 10020 7975 23689 20788 17757 15172 15888 22513 13314 10985 155 20859 23166 29678 8004 38711 14312 5235 15947 17287 27937 14653 23299 18301 7964 24966
"ENSG00000237973.1" 30291 11934 15406 14450 47153 24435 28232 179282 20334 111353 29170 48039 37413 29172 38035 40980 34154 16180 16498 41677 23086 19816 7635 23802 17224 15143 26710 207827 20409 27737 22310 46196 24879 24520 18288 35336 24726 36818 17135 31326 13369 15002 22479 38443 87201 13710 79114 30701 20300 35562
"ENSG00000229344.1" 6548 1560 2358 2963 4950 2305 1931 3548 2356 1890 2296 8123 3948 3188 2152 3278 3026 1274 1425 4630 1604 2518 482 1957 1415 1662 4656 2871 2810 3936 2787 5038 3306 2254 1790 2099 1638 4890 1335 5598 2224 655 1738 3909 860 2179 10563 2840 1517 2127
"ENSG00000268663.1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000185097.2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000229376.3" 0 1 21 16 24 19 7 11 9 5 21 12 2 4 15 0 34 10 9 16 10 26 2 5 8 5 6 11 19 16 14 22 8 11 19 9 11 14 1 12 16 1 7 10 12 12 5 12 0 18
"ENSG00000224956.5" 60 29 292 325 373 215 187 68 82 84 195 228 171 288 315 240 300 161 95 61 310 346 43 127 140 146 245 274 174 163 238 257 313 76 226 199 166 431 85 470 120 61 87 217 184 205 324 250 229 253
"ENSG00000235373.1" 0 1 32 24 31 35 41 33 23 10 11 32 12 49 59 20 73 40 17 26 62 55 1 13 24 34 30 25 41 24 17 47 34 21 50 23 23 59 26 33 20 12 10 52 7 45 7 37 27 33
"ENSG00000223181.1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
